ans_id,ans_voteup,ans_thanks,ans_collection,ans_comment,que_id,que_activities,author_id,author_collected,author_follower,author_following,author_thanked,author_voteup,author_activities
127565969,137,64,113,46,51783509,91,f92986db0cfa0175f9af26875cfe3b96,295,488,97,117,355,5
141878897,135,34,37,30,36890053,57,f3bd77f336d8e42d3894d91d7f4d9b6d,1009,1503,91,551,1292,4
128393766,130,11,0,77,51879275,162,0970f947b898ecc0ec035f9126dd4e08,223873,559790,2171,162815,1256771,1819
141422842,124,30,31,53,54680317,26,eef16ca7df4d4cb380f5f6ae41eefe84,20344,13400,1184,6076,31748,35
149335937,121,19,3,43,56169136,44,17465caf9869aa30f6bf1a26626f164e,6,12,53,19,122,4
123018208,115,24,17,6,50788193,27,9e7233ef28d60f731968a86b8c956a45,4544,1733,91,1226,6309,10
118636187,115,39,34,17,49446556,13,44337f0a9232849c3c52a48e5eb1881d,4522,1113,129,923,3013,10
108780829,105,22,12,48,48038437,57,741bd8c4179cb3466dfb8fc2a4a99b43,37,49,129,35,165,39
36295696,96,35,96,5,23299373,24,197eaa88b85323b13928547f22954e4a,3115,2355,78,756,2198,0
133867252,95,15,1,47,51890140,30,71637fe077b9a2d7be320e2800ccd818,82994,76393,680,36549,229144,115
69787340,93,37,56,17,36884389,16,25e8b3407900bc7a1003b77604f05fc1,1759,4758,129,1006,2546,17
122955701,92,18,0,5,50788193,27,2cfc0161f048805946fdbc0704e8faa1,164,339,246,254,1127,16
78280495,89,10,10,4,38656861,19,dfa09089a0d521de903a0f0d81bf97d3,64,75,33,28,134,42
68653293,89,14,70,7,36692190,14,fd8a4aece004bf92ed0fdd9e22c71173,776,363,38,69,291,21
155299554,88,21,181,19,57456575,10,65b410e4eb98f327b2fd256197abf915,5962,6719,221,1709,8445,50
141552824,88,21,24,29,54048527,38,d98b2383655116690e713fbfcc49c62c,16048,26405,162,8115,44637,64
137665034,87,9,7,45,54048527,38,5caf68d8648c563c800c916a7e5e47b6,28849,38591,3107,19114,152089,226
141902352,88,20,28,15,52102239,109,13204ebd1e28ceddfd3c177296238ae7,11251,13008,17,5596,20058,50
56249304,87,42,56,46,32271883,47,5c6d6e992002f94e3e580dfc4702c154,78277,50083,137,30816,106648,71
107477727,86,20,46,29,47741800,24,9d6142d06f59897c714ff758f4437c3c,33495,95296,277,11730,48467,6
139142756,80,22,40,23,54379931,16,eef16ca7df4d4cb380f5f6ae41eefe84,20344,13400,1184,6076,31748,35
140403775,81,29,153,12,46575222,10,8baab2164ff8bca575996e1fcc55e1a9,8804,7051,14,406,4829,21
43295336,79,16,29,30,28926356,67,493bf746f5d3c535bcd93a37dc642194,98673,97440,653,23627,106737,31
141383154,80,27,74,11,24506695,20,4f69bf64646e3f7464a87a147261351f,104,60,11,37,174,34
